Wall time,Step,Value
1674230164.172006,143,-12.261853218078613
1674230164.181009,144,-12.261307716369629
1674230164.200255,146,-12.260204315185547
1674230164.208971,147,-12.25965690612793
1674230164.240254,150,-12.258023262023926
1674230164.306619,157,-12.254088401794434
1674230164.324096,159,-12.252957344055176
1674230164.334802,160,-12.252387046813965
1674230164.356222,162,-12.251239776611328
1674230164.375005,164,-12.250091552734375
1674230164.394716,166,-12.248940467834473
1674230164.433115,170,-12.246615409851074
1674230164.440963,171,-12.2460298538208
1674230164.452035,172,-12.245443344116211
1674230164.484931,175,-12.243675231933594
1674230164.493759,176,-12.243082046508789
1674230164.504346,177,-12.242487907409668
1674230164.513443,178,-12.241890907287598
1674230164.532262,180,-12.240694999694824
1674230164.540582,181,-12.240094184875488
1674230164.568991,184,-12.238285064697266
1674230164.576922,185,-12.237679481506348
1674230164.589547,186,-12.237071990966797
1674230164.619162,189,-12.235240936279297
1674230164.627276,190,-12.234628677368164
1674230164.63948,191,-12.234014511108398
1674230164.64812,192,-12.2333984375
1674230164.675183,195,-12.231542587280273
1674230164.713933,199,-12.229049682617188
1674230164.723541,200,-12.228422164916992
1674230164.741554,202,-12.227165222167969
1674230164.751192,203,-12.226533889770508
1674230164.759558,204,-12.22590160369873
1674230164.769759,205,-12.225268363952637
1674230164.791104,207,-12.223998069763184
1674230164.81152,209,-12.222722053527832
1674230164.831198,211,-12.221440315246582
1674230164.848959,213,-12.220154762268066
1674230164.865986,215,-12.218863487243652
1674230164.874832,216,-12.218215942382812
1674230164.899108,218,-12.216917037963867
1674230164.912615,219,-12.216265678405762
1674230164.925405,220,-12.21561336517334
1674230164.937977,221,-12.214959144592285
1674230164.947594,222,-12.21430492401123
1674230164.968173,224,-12.212990760803223
1674230164.977827,225,-12.212332725524902
1674230165.018918,229,-12.209686279296875
1674230165.076069,235,-12.205680847167969
1674230165.096833,237,-12.204337120056152
1674230165.106506,238,-12.203662872314453
1674230165.115143,239,-12.202988624572754
1674230165.137302,241,-12.201635360717773
1674230165.146938,242,-12.200956344604492
