Wall time,Step,Value
1674230180.519776,409,-12.064691543579102
1674230180.566566,412,-12.117317199707031
1674230180.581986,413,-12.079766273498535
1674230180.598972,414,-12.156442642211914
1674230180.613408,415,-12.08847713470459
1674230180.665466,418,-12.050776481628418
1674230180.718216,421,-12.072251319885254
1674230180.734697,422,-12.059690475463867
1674230180.778211,425,-12.100777626037598
1674230180.800384,426,-12.021527290344238
1674230180.865575,430,-12.05441665649414
1674230180.883935,431,-12.032662391662598
1674230180.935043,434,-12.016979217529297
1674230180.951772,435,-12.101662635803223
1674230180.969687,436,-12.045720100402832
1674230180.985128,437,-12.013190269470215
1674230181.003003,438,-12.036185264587402
1674230181.019504,439,-12.065047264099121
1674230181.035238,440,-12.064565658569336
1674230181.051956,441,-12.09116268157959
1674230181.082144,443,-12.064748764038086
1674230181.099467,444,-12.054101943969727
1674230181.115233,445,-11.996321678161621
1674230181.132626,446,-12.019087791442871
1674230181.198652,450,-12.089543342590332
1674230181.21521,451,-12.095085144042969
1674230181.228259,452,-11.986442565917969
1674230181.252205,453,-12.03939151763916
1674230181.273361,454,-11.983353614807129
1674230181.312097,456,-12.065633773803711
1674230181.356845,458,-11.982280731201172
1674230181.404457,460,-12.08219051361084
1674230181.423557,461,-11.994575500488281
1674230181.485124,464,-11.994839668273926
1674230181.504604,465,-12.126707077026367
1674230181.52203,466,-12.015278816223145
1674230181.555146,468,-12.020102500915527
1674230181.586497,470,-12.076123237609863
1674230181.649998,474,-11.986115455627441
1674230181.668745,475,-12.015315055847168
1674230181.717627,478,-12.0602388381958
1674230181.732446,479,-11.988912582397461
1674230181.749212,480,-11.949706077575684
1674230181.766232,481,-12.013400077819824
1674230181.783867,482,-12.003949165344238
1674230181.799323,483,-11.984138488769531
1674230181.816423,484,-12.019807815551758
1674230181.850287,486,-12.069581985473633
1674230181.868254,487,-12.058390617370605
1674230181.887546,488,-12.060673713684082
1674230181.903411,489,-11.982624053955078
1674230181.938414,491,-12.009084701538086
1674230181.988614,494,-12.034354209899902
1674230182.051124,498,-11.995497703552246
1674230182.099561,501,-11.985721588134766
1674230182.113328,502,-11.985505104064941
1674230182.132495,503,-12.00883674621582
1674230182.183615,506,-11.985435485839844
1674230182.217059,508,-11.99590015411377
1674230182.234413,509,-11.98805046081543
1674230182.252311,510,-11.985566139221191
1674230182.269148,511,-11.953646659851074
1674230182.287324,512,-12.024954795837402
1674230182.304942,513,-12.039336204528809
1674230182.31987,514,-11.929057121276855
1674230182.370884,517,-11.991698265075684
1674230182.391327,518,-11.992109298706055
1674230182.410368,519,-12.005821228027344
1674230182.427536,520,-11.998543739318848
1674230182.502597,523,-11.981717109680176
1674230182.658935,530,-11.919180870056152
1674230182.724655,533,-11.937933921813965
1674230182.745008,534,-11.999922752380371
1674230182.789632,536,-12.01294994354248
1674230182.805645,537,-12.034140586853027
1674230182.820048,538,-12.007628440856934
1674230182.836449,539,-12.028074264526367
1674230182.854233,540,-11.964029312133789
1674230182.884541,542,-11.897414207458496
1674230182.901629,543,-12.007913589477539
1674230182.918841,544,-11.90600299835205
1674230182.950835,546,-11.935111045837402
1674230182.969434,547,-12.005615234375
1674230183.020221,550,-12.004199981689453
1674230183.051039,552,-11.942595481872559
1674230183.088173,554,-11.94316577911377
1674230183.103411,555,-11.926192283630371
1674230183.120591,556,-12.024373054504395
1674230183.214013,562,-11.980081558227539
1674230183.230268,563,-11.967606544494629
1674230183.246203,564,-11.980196952819824
1674230183.305742,568,-11.891035079956055
1674230183.352711,571,-11.891439437866211
1674230183.388214,573,-11.9031343460083
1674230183.438394,576,-11.93033504486084
1674230183.506772,580,-11.938106536865234
1674230183.571176,584,-11.900384902954102
1674230183.58807,585,-11.899535179138184
1674230183.607926,586,-11.82072925567627
1674230183.645122,588,-11.933293342590332
1674230183.674263,590,-11.978370666503906
1674230183.688746,591,-11.88014030456543
1674230183.705484,592,-11.924531936645508
1674230183.735201,594,-11.852011680603027
1674230183.770714,596,-11.959322929382324
1674230183.784147,597,-11.930137634277344
1674230183.799658,598,-11.915448188781738
1674230183.817956,599,-11.950634956359863
1674230183.852895,601,-11.958907127380371
1674230183.86992,602,-11.839349746704102
1674230183.887756,603,-11.946393013000488
1674230183.926553,605,-11.812335968017578
1674230183.998167,608,-11.921847343444824
1674230184.041919,610,-11.896345138549805
1674230184.089224,613,-11.95230484008789
1674230184.103641,614,-11.900371551513672
1674230184.138698,616,-11.897295951843262
1674230184.172734,618,-11.905598640441895
1674230184.205036,620,-11.869324684143066
1674230184.234917,622,-11.92227554321289
1674230184.247945,623,-11.907706260681152
1674230184.297857,626,-11.935595512390137
1674230184.332534,628,-11.852505683898926
1674230184.347749,629,-11.93622875213623
1674230184.419463,633,-11.934539794921875
1674230184.451638,635,-11.91387939453125
1674230184.506661,637,-11.838349342346191
1674230184.577112,640,-11.942461013793945
1674230184.602846,641,-11.844051361083984
1674230184.626562,642,-11.952197074890137
1674230184.653096,643,-11.83018684387207
1674230184.676778,644,-11.87281608581543
1674230184.694249,645,-11.822272300720215
1674230184.756014,649,-11.854897499084473
1674230184.789756,651,-11.954873085021973
1674230184.806424,652,-11.803914070129395
1674230184.821826,653,-11.878613471984863
1674230184.840088,654,-11.835359573364258
1674230184.862195,655,-11.815690040588379
1674230184.922594,658,-11.816024780273438
1674230184.939666,659,-11.871545791625977
1674230184.957165,660,-11.94844913482666
1674230185.073909,667,-11.846024513244629
1674230185.125277,670,-11.833690643310547
1674230185.207335,675,-11.815377235412598
1674230185.222513,676,-11.883585929870605
1674230185.242437,677,-11.856085777282715
1674230185.294621,680,-11.870182037353516
1674230185.325984,682,-11.866726875305176
1674230185.339683,683,-11.767000198364258
1674230185.355914,684,-11.809425354003906
1674230185.406605,687,-11.873044967651367
1674230185.492756,692,-11.88670539855957
