Wall time,Step,Value
1674230191.14917,368,-7.348940849304199
1674230191.499658,374,-6.487220764160156
1674230191.670282,377,-6.916447162628174
1674230191.732407,378,-6.946730136871338
1674230192.12311,385,-6.734114170074463
1674230192.178179,386,-7.285175800323486
1674230192.381112,390,-6.98712682723999
1674230192.431454,391,-6.834285259246826
1674230192.486648,392,-6.904666423797607
1674230192.538943,393,-6.569197177886963
1674230192.593771,394,-6.88041877746582
1674230192.646845,395,-6.584875583648682
1674230192.691946,396,-6.964744567871094
1674230192.740654,397,-7.366343975067139
1674230192.790205,398,-6.793234825134277
1674230192.845171,399,-7.103237628936768
1674230192.957318,401,-6.4810638427734375
1674230193.021682,402,122.05443572998047
1674230193.124754,404,-50.312191009521484
1674230193.324117,408,-75.59558868408203
1674230193.379257,409,-77.0690689086914
1674230193.533552,412,-79.45572662353516
1674230193.581591,413,-79.84628295898438
1674230193.630022,414,-79.81414794921875
1674230193.680791,415,-79.99139404296875
1674230193.838955,418,-81.1417236328125
1674230193.99052,421,-81.76338958740234
1674230194.042555,422,-81.26216888427734
1674230194.196383,425,-81.5452880859375
1674230194.242977,426,-81.93485260009766
1674230194.437035,430,-81.60443878173828
1674230194.489245,431,-82.11910247802734
1674230194.639066,434,-81.63954162597656
1674230194.691199,435,-81.84671020507812
1674230194.74686,436,-82.31700897216797
1674230194.797531,437,-81.70481872558594
1674230194.846826,438,-81.6517562866211
1674230194.893795,439,-81.71710968017578
1674230194.943666,440,-82.33705139160156
1674230194.993969,441,-81.6193618774414
1674230195.093061,443,-81.8252182006836
1674230195.145903,444,-81.86360931396484
1674230195.193182,445,-81.72418975830078
1674230195.245691,446,-81.42546844482422
1674230195.442772,450,-81.36495208740234
1674230195.500527,451,-81.74469757080078
1674230195.551427,452,-81.72225189208984
1674230195.60127,453,-81.60037231445312
1674230195.648919,454,-81.02217102050781
1674230195.747719,456,-81.88265228271484
1674230195.853817,458,-81.57521057128906
1674230195.95097,460,-81.33946990966797
1674230195.999908,461,-80.99151611328125
1674230196.149256,464,-81.25630187988281
1674230196.201946,465,-81.30253601074219
1674230196.254658,466,-81.51849365234375
1674230196.353828,468,-81.22284698486328
1674230196.452705,470,-80.78570556640625
1674230196.653726,474,-81.34697723388672
1674230196.702703,475,-81.05411529541016
1674230196.854791,478,-81.15335083007812
1674230196.904847,479,-81.19580078125
1674230196.952821,480,-81.02971649169922
1674230197.004121,481,-81.27700805664062
1674230197.053831,482,-81.22544860839844
1674230197.101644,483,-81.06622314453125
1674230197.151781,484,-81.26260375976562
1674230197.254934,486,-81.3101806640625
1674230197.304739,487,-81.373046875
1674230197.354969,488,-80.95742797851562
1674230197.405499,489,-80.60647583007812
1674230197.507807,491,-80.69351959228516
1674230197.667255,494,-80.87584686279297
1674230197.860418,498,-80.5505599975586
1674230198.014272,501,-80.8084487915039
1674230198.070485,502,-81.15642547607422
1674230198.121149,503,-80.60175323486328
1674230198.271874,506,-80.99720001220703
1674230198.392731,508,-80.63700103759766
1674230198.456282,509,-80.97665405273438
1674230198.518167,510,-80.84182739257812
1674230198.574238,511,-80.47445678710938
1674230198.632325,512,-81.05472564697266
1674230198.693026,513,-81.01886749267578
1674230198.751493,514,-80.7209701538086
1674230198.922499,517,-80.66898345947266
1674230198.978794,518,-80.56037139892578
1674230199.041558,519,-80.1534194946289
1674230199.10365,520,-80.19170379638672
1674230199.28145,523,-80.38675689697266
1674230199.699308,530,-80.2540512084961
1674230199.87574,533,-80.63017272949219
1674230199.928687,534,-80.40105438232422
1674230200.044395,536,-80.00433349609375
1674230200.102361,537,-80.15377044677734
1674230200.159834,538,-79.9352798461914
1674230200.215192,539,-80.33270263671875
1674230200.273593,540,-80.47051239013672
1674230200.402464,542,-80.49408721923828
1674230200.46039,543,-80.06387329101562
1674230200.524249,544,-80.32567596435547
1674230200.639036,546,-80.29144287109375
1674230200.693603,547,-80.40644073486328
1674230200.874341,550,-80.33988952636719
1674230200.99227,552,-80.29956817626953
1674230201.106657,554,-80.0510025024414
1674230201.164649,555,-80.67998504638672
1674230201.220843,556,-80.25312042236328
1674230201.576658,562,-79.85272979736328
1674230201.633718,563,-79.7170639038086
1674230201.697066,564,-80.0208511352539
1674230201.937726,568,-79.63825988769531
1674230202.116161,571,-80.00447845458984
1674230202.234063,573,-79.95829772949219
1674230202.399463,576,-79.49191284179688
1674230202.651189,580,-79.86014556884766
1674230202.892114,584,-79.45552062988281
1674230202.949661,585,-79.97113037109375
1674230203.009377,586,-79.55274963378906
1674230203.127408,588,-79.35536193847656
1674230203.246553,590,-79.31298828125
1674230203.307325,591,-80.2450942993164
1674230203.361892,592,-79.46382141113281
1674230203.481373,594,-79.92626953125
1674230203.596259,596,-79.53822326660156
1674230203.651682,597,-79.29340362548828
1674230203.708725,598,-79.26859283447266
1674230203.766119,599,-79.74726867675781
1674230203.866521,601,-78.91922760009766
1674230203.916903,602,-79.5400619506836
1674230203.969341,603,-79.39718627929688
1674230204.081655,605,-78.90580749511719
1674230204.260212,608,-79.43665313720703
1674230204.377757,610,-78.82342529296875
1674230204.56534,613,-78.8894271850586
1674230204.626889,614,-79.33073425292969
1674230204.734029,616,-78.66000366210938
1674230204.850832,618,-78.53936004638672
1674230204.970858,620,-79.0160140991211
1674230205.086034,622,-78.69384765625
1674230205.14976,623,-78.87740325927734
1674230205.302624,626,-79.01193237304688
1674230205.403184,628,-78.18312072753906
1674230205.455002,629,-78.60212707519531
1674230205.665582,633,-78.4262924194336
1674230205.781076,635,-78.20075988769531
1674230205.885231,637,-78.44364929199219
1674230206.042445,640,-77.9107666015625
1674230206.091709,641,-78.5802001953125
1674230206.143811,642,-77.99726867675781
1674230206.193071,643,-78.13748168945312
1674230206.241592,644,-77.86753845214844
1674230206.292965,645,-77.78675842285156
1674230206.498847,649,-77.24507141113281
1674230206.598383,651,-77.85110473632812
1674230206.647003,652,-77.72723388671875
1674230206.69385,653,-76.9681625366211
1674230206.745659,654,-77.2669448852539
1674230206.791273,655,-77.72398376464844
1674230206.93672,658,-77.14301300048828
1674230206.983226,659,-77.21282196044922
1674230207.032173,660,-76.94384765625
1674230207.383012,667,-75.81580352783203
1674230207.528765,670,-76.06341552734375
1674230207.753361,675,-76.32228088378906
1674230207.799731,676,-75.95745849609375
1674230207.839045,677,-75.36841583251953
1674230207.969768,680,-75.50345611572266
1674230208.072658,682,-75.13430786132812
1674230208.121639,683,-74.70423126220703
1674230208.169985,684,-75.19902038574219
1674230208.327486,687,-74.93964385986328
1674230208.567484,692,-75.04964447021484
1674230208.659371,694,-73.8163070678711
1674230208.702774,695,-74.76824951171875
1674230208.750327,696,-74.1292495727539
1674230208.79884,697,-74.18943786621094
1674230208.899193,699,-74.15786743164062
1674230209.044213,702,-72.82337951660156
1674230209.091968,703,-73.20169067382812
1674230209.182604,705,-73.14387512207031
1674230209.37086,709,-72.56048583984375
1674230209.415852,710,-71.72929382324219
1674230209.516023,712,-72.31668853759766
1674230209.658127,715,-71.70362091064453
1674230209.756689,717,-72.10421752929688
1674230209.846559,719,-70.57965850830078
1674230209.897464,720,-70.8154525756836
1674230209.945593,721,-70.58824920654297
1674230210.039651,723,-69.966796875
1674230210.133646,725,-69.60870361328125
1674230210.183794,726,-70.4526138305664
1674230210.231089,727,-70.00282287597656
1674230210.277527,728,-69.62776184082031
1674230210.321505,729,-68.55633544921875
1674230210.416319,731,-68.45365142822266
1674230210.469905,732,-68.65103912353516
1674230210.51652,733,-68.17009735107422
1674230210.747543,738,-66.87892150878906
1674230210.794674,739,-67.28539276123047
1674230210.837209,740,-65.98441314697266
1674230210.931448,742,-65.3927230834961
1674230210.975333,743,-65.91715240478516
1674230211.024651,744,-65.2368392944336
1674230211.070718,745,-64.37078857421875
1674230211.388852,752,-62.838008880615234
1674230211.518634,755,-61.84674835205078
1674230211.561365,756,-61.82173538208008
1674230211.647467,758,-60.87178421020508
1674230211.859229,763,-59.255096435546875
1674230211.901733,764,-58.47403335571289
1674230211.93969,765,-57.448577880859375
1674230212.067262,768,-56.772705078125
1674230212.10599,769,-56.76417922973633
1674230212.235998,772,-54.46665954589844
1674230212.277349,773,-54.8423957824707
1674230212.363184,775,-53.86393737792969
1674230212.406776,776,-54.01349639892578
1674230212.498063,778,-53.084083557128906
1674230212.536198,779,-52.740657806396484
1674230212.578043,780,-52.246604919433594
1674230212.621939,781,-51.900142669677734
1674230212.664381,782,-51.63862991333008
1674230212.910615,788,-50.06483459472656
1674230212.955509,789,-48.611534118652344
1674230213.033818,791,-47.17341613769531
1674230213.120704,793,-46.36830139160156
1674230213.206382,795,-45.634368896484375
1674230213.247349,796,-45.133811950683594
1674230213.370932,799,-44.164215087890625
1674230213.413216,800,-43.64715576171875
1674230213.587674,804,-42.155670166015625
1674230213.629232,805,-41.39946746826172
1674230213.673309,806,-40.8306770324707
1674230213.719704,807,-41.27821731567383
1674230213.83998,810,-39.56962585449219
1674230213.967965,813,-38.792667388916016
1674230214.173736,818,-37.689674377441406
1674230214.217951,819,-36.247833251953125
1674230214.301104,821,-36.07545471191406
1674230214.339232,822,-36.315460205078125
1674230214.379176,823,-36.383934020996094
1674230214.471987,825,-34.966697692871094
1674230214.51302,826,-35.03017807006836
1674230214.553422,827,-34.26951599121094
1674230214.591675,828,-34.67417526245117
1674230214.766947,832,-33.443790435791016
1674230214.805426,833,-33.62929153442383
1674230214.891929,835,-32.562843322753906
1674230214.933951,836,-33.471527099609375
1674230214.977663,837,-32.608924865722656
1674230215.062508,839,-31.378854751586914
1674230215.103532,840,-31.354490280151367
1674230215.228036,843,-31.51069450378418
1674230215.314552,845,-30.988061904907227
1674230215.530292,850,-30.430835723876953
1674230215.570192,851,-30.48360824584961
1674230215.694075,854,-30.2988338470459
1674230215.823337,857,-30.025651931762695
1674230215.948813,860,-29.45682144165039
1674230216.036557,862,-29.823488235473633
1674230216.165815,865,-28.628211975097656
1674230216.207059,866,-28.753252029418945
1674230216.374419,870,-28.261159896850586
1674230216.415208,871,-27.877321243286133
1674230216.844767,881,-27.442575454711914
1674230216.925767,883,-27.440885543823242
1674230216.966815,884,-27.461523056030273
1674230217.013985,885,-27.27061653137207
1674230217.057694,886,-26.402692794799805
1674230217.144026,888,-26.87801742553711
1674230217.229337,890,-26.787931442260742
1674230217.317693,892,-26.842058181762695
1674230217.442811,895,-26.88667869567871
1674230217.547321,897,-26.6783504486084
1674230217.59557,898,-26.46768569946289
1674230217.742795,901,-25.879344940185547
1674230217.79006,902,-26.042461395263672
1674230217.883874,904,-25.447101593017578
1674230217.985334,906,-25.868406295776367
1674230218.03522,907,-26.216829299926758
1674230218.079602,908,-25.83472442626953
1674230218.176636,910,-25.31525230407715
1674230218.222059,911,-25.85306739807129
1674230218.36526,914,-25.816692352294922
1674230218.562611,918,-25.44176483154297
1674230218.610997,919,-25.42438507080078
1674230218.708394,921,-24.714195251464844
1674230218.803612,923,-24.921018600463867
1674230218.986751,927,-24.664731979370117
1674230219.047056,928,-24.361244201660156
1674230219.096735,929,-24.43726348876953
1674230219.141631,930,-24.481708526611328
1674230219.187862,931,-24.796537399291992
1674230219.23095,932,-24.745223999023438
1674230219.278553,933,-25.015361785888672
1674230219.37116,935,-24.209829330444336
1674230219.565816,939,-24.350881576538086
1674230219.657514,941,-24.4346981048584
1674230219.707495,942,-23.914331436157227
1674230219.844361,945,-23.862533569335938
1674230220.030905,949,-23.517578125
1674230220.175148,952,-23.637588500976562
1674230220.267592,954,-23.79179573059082
1674230220.315576,955,-23.876192092895508
1674230220.359523,956,-23.618654251098633
1674230220.551391,960,-23.433895111083984
1674230220.644594,962,-23.153947830200195
1674230220.695611,963,-23.1728515625
1674230220.741817,964,-23.36265754699707
1674230220.787126,965,-23.157907485961914
1674230220.889068,967,-23.27253532409668
1674230220.936016,968,-22.838714599609375
1674230221.075116,971,-23.11179542541504
1674230221.314435,976,-23.257219314575195
1674230221.411744,978,-22.71021270751953
1674230221.460405,979,-23.0560245513916
1674230221.556932,981,-22.794546127319336
1674230221.6047,982,-22.524372100830078
1674230221.793946,986,-22.89181900024414
1674230221.89681,988,-22.44165802001953
1674230221.94142,989,-22.6933650970459
1674230221.993854,990,-22.46441078186035
1674230222.088529,992,-22.791099548339844
1674230222.194103,994,-22.448184967041016
1674230222.240413,995,-22.40500831604004
1674230222.291529,996,-22.257047653198242
1674230222.38682,998,-22.281204223632812
